Set,zipcode,price_sold,zestimate,bedroom,bathroom,area,year,parking,lot,sold_date,price_list_f,date_list,price_list,tax,tax_assessment,walk,bike,school,heating_baseboard_dummy,heating_forced_water_dummy,heating_forced_air_dummy,heating_natural_gas_dummy,heating_other_dummy,heating_central_air_dummy,heating_gas_connected_dummy,cooling_central_air_dummy,cooling_ductless_dummy,cooling_window_units_dummy,cooling_wall_units_dummy,cooling_other_dummy,cooling_none_dummy,bedroom_6_plus,bathroom_6_plus
A,01590,250000.0,252700.0,1,2,392.0,1930,4.0,0.13,2024-07-30,269900.0,2024-10-30,279900.0,3669.0,264900.0,6.0,22.0,8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A,01590,831000.0,843000.0,3,4,2270.0,2000,2.0,0.57,2024-07-17,831000.0,2024-05-30,799900.0,8541.0,606600.0,9.0,9.0,8.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
A,01590,580000.0,582100.0,3,2,2144.0,1996,2.0,2.06,2024-08-28,580000.0,2024-08-02,575000.0,6449.0,449100.0,1.0,23.0,5.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
A,01590,565000.0,577100.0,3,2,1698.0,1975,2.0,2.17,2024-09-16,565000.0,2016-08-05,550000.0,5533.0,399500.0,0.0,22.0,8.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A,01590,540000.0,544100.0,3,2,1744.0,1970,8.0,2.18,2024-08-09,540000.0,2024-06-26,469900.0,5047.0,364400.0,1.0,11.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,01590,835000.0,835300.0,4,3,2890.0,1999,2.0,2.26,2024-09-16,789000.0,2024-08-05,78900.0,8515.0,614800.0,1.0,21.0,8.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
A,01590,938240.0,938240.0,3,3,2000.0,2024,2.0,4.68,2024-07-30,938240.0,2024-05-10,849000.0,2033.0,146800.0,5.0,16.0,8.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
A,01590,739000.0,741900.0,3,2,1911.0,1987,1.0,13.62,2024-09-06,739000.0,2024-05-15,755000.0,6732.0,468800.0,2.0,17.0,5.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
A,01754,537000.0,542500.0,3,1,1545.0,1870,2.0,0.09,2024-07-23,537000.0,2024-05-16,525000.0,7810.0,411700.0,75.0,41.0,6.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
A,01754,575000.0,576900.0,3,2,1608.0,1920,1.0,0.1,2024-08-22,575000.0,2024-06-05,595000.0,7983.0,420800.0,77.0,65.0,6.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
A,01754,570000.0,570300.0,3,1,1213.0,1920,2.0,0.11,2024-09-03,570000.0,2024-07-18,535000.0,7789.0,410600.0,69.0,65.0,6.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A,01754,431000.0,431100.0,2,1,926.0,1940,1.0,0.19,2024-09-20,431000.0,2024-08-28,364900.0,6395.0,337100.0,73.0,56.0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A,01754,501500.0,501600.0,3,1,1404.0,1962,4.0,0.24,2024-09-18,501500.0,2024-08-06,469900.0,7372.0,388600.0,66.0,68.0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
